grupo_etario,sexo,semana,semana_texto,fecha_inicio_semana,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom,cambio_porcentual_diarios
>=70,Mujer,46,15 Nov - 21 Nov 20,2020-11-15,95,0.0,,
>=70,Mujer,47,22 Nov - 28 Nov 20,2020-11-22,102,7.4,,
>=70,Mujer,48,29 Nov - 05 Dec 20,2020-11-29,92,-9.8,,
>=70,Mujer,49,06 Dec - 12 Dec 20,2020-12-06,114,23.9,,
>=70,Mujer,50,13 Dec - 19 Dec 20,2020-12-13,104,-8.8,,
>=70,Mujer,51,20 Dec - 26 Dec 20,2020-12-20,131,26.0,,
>=70,Mujer,52,27 Dec - 02 Jan 21,2020-12-27,104,-20.6,,
>=70,Mujer,53,03 Jan - 09 Jan 21,2021-01-03,146,40.4,,
>=70,Mujer,54,10 Jan - 16 Jan 21,2021-01-10,166,13.7,,
>=70,Mujer,55,17 Jan - 23 Jan 21,2021-01-17,223,34.3,,
>=70,Mujer,56,24 Jan - 30 Jan 21,2021-01-24,240,7.6,,
>=70,Mujer,57,31 Jan - 06 Feb 21,2021-01-31,226,-5.8,,
>=70,Mujer,58,07 Feb - 13 Feb 21,2021-02-07,226,0.0,,
>=70,Mujer,59,14 Feb - 20 Feb 21,2021-02-14,214,-5.3,,
>=70,Mujer,60,21 Feb - 27 Feb 21,2021-02-21,226,5.6,,
>=70,Mujer,61,28 Feb - 06 Mar 21,2021-02-28,241,6.6,,
>=70,Mujer,62,07 Mar - 13 Mar 21,2021-03-07,270,12.0,,
>=70,Mujer,63,14 Mar - 20 Mar 21,2021-03-14,264,-2.2,,
>=70,Mujer,64,21 Mar - 27 Mar 21,2021-03-21,248,-6.1,,
>=70,Mujer,65,28 Mar - 03 Apr 21,2021-03-28,277,11.7,,
>=70,Mujer,66,04 Apr - 10 Apr 21,2021-04-04,305,10.1,,
>=70,Mujer,67,11 Apr - 14 Apr 21,2021-04-11,135,-55.7,,
